Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
426,:ref:`LDAUW`,:ref:`D3_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW`,:ref:`D4_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D4_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
426,:ref:`LDAUW`,:ref:`D4_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW`,:ref:`D5_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D5_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
426,:ref:`LDAUW`,:ref:`D5_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW`,:ref:`D6_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D6_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`D6_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`D6_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`D6_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
416,:ref:`LDAUW`,:ref:`D7_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D7_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`D7_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`D7_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW`,:ref:`D8_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D8_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
426,:ref:`LDAUW`,:ref:`D8_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW`,:ref:`D9_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D9_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`D9_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`D9_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW`,:ref:`D10-D11_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
422,:ref:`LDAUW`,:ref:`D10-D11_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW`,:ref:`D10-D11_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
416,:ref:`LDAUW1`,:ref:`D12_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
