Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
122,:ref:`MICROLITE`,:ref:`9178739`,indoor,Living room table,2013-10-22,2013-11-03
175,:ref:`MICROLITE`,:ref:`9178739`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
211,:ref:`MICROLITE`,:ref:`9178739`,indoor,Hallway,2014-07-01,2014-07-05
253,:ref:`MICROLITE`,:ref:`9178739`,indoor,5th floor (incomplete),2014-08-22,2014-08-26
112,:ref:`MICROLITE`,:ref:`9178748`,indoor,Bedroom Table,2013-11-04,2013-11-11
128,:ref:`MICROLITE`,:ref:`9178748`,indoor,Living room table,2013-10-22,2013-11-03
171,:ref:`MICROLITE`,:ref:`9178748`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
113,:ref:`MICROLITE`,:ref:`9178724`,indoor,Bedroom Bedside Bed ,2013-11-04,2013-11-11
127,:ref:`MICROLITE`,:ref:`9178724`,indoor,Living room table,2013-10-22,2013-11-03
178,:ref:`MICROLITE`,:ref:`9178724`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
188,:ref:`MICROLITE`,:ref:`9178724`,indoor,Living room,2014-07-01,2014-07-05
259,:ref:`MICROLITE`,:ref:`9178724`,indoor,5th floor (incomplete),2015-01-23,2015-04-26
114,:ref:`MICROLITE`,:ref:`9178729`,indoor,Bedroom Bedside window,2013-11-04,2013-11-11
126,:ref:`MICROLITE`,:ref:`9178729`,indoor,Living room table,2013-10-22,2013-11-03
177,:ref:`MICROLITE`,:ref:`9178729`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
187,:ref:`MICROLITE`,:ref:`9178729`,indoor,Living room,2014-07-01,2014-07-05
124,:ref:`MICROLITE`,:ref:`9178733`,indoor,Living room table,2013-10-22,2013-11-03
176,:ref:`MICROLITE`,:ref:`9178733`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
185,:ref:`MICROLITE`,:ref:`9178733`,indoor,Living room,2014-07-01,2014-07-05
